"Month","Date","State","TotalSamples","Negative","Positive"
"2020-04","2020-04-23","Gujarat",42384,39760,2624
"2020-04","2020-04-23","Haryana",17582,15452,270
"2020-04","2020-04-23","Himachal Pradesh",4020,3943,40
"2020-04","2020-04-23","Jammu and Kashmir",10977,10550,427
"2020-04","2020-04-23","Jharkhand",5380,5327,53
"2020-04","2020-04-23","Karnataka",32122,28174,445
"2020-04","2020-04-23","Kerala",21334,20326,447
"2020-04","2020-04-23","Madhya Pradesh",24548,22861,1687
"2020-04","2020-04-23","Maharashtra",89197,83979,5218
"2020-04","2020-04-23","Meghalaya",1109,1000,12
"2020-04","2020-04-23","Mizoram",137,,1
"2020-04","2020-04-23","Nagaland",607,543,0
"2020-04","2020-04-23","Odisha",15984,,89
"2020-04","2020-04-23","Puducherry",1548,1513,7
"2020-04","2020-04-23","Punjab",8757,7433,283
"2020-04","2020-04-23","Rajasthan",69764,63485,1964
"2020-04","2020-04-23","Tamil Nadu",65977,56836,1683
"2020-04","2020-04-23","Uttar Pradesh",45483,43495,1510
"2020-04","2020-04-23","Uttarakhand",4473,3879,47
"2020-04","2020-04-23","West Bengal",7990,,456
"2020-04","2020-04-24","Andaman and Nicobar Islands",2679,,27
"2020-04","2020-04-24","Andhra Pradesh",54338,53383,955
"2020-04","2020-04-24","Arunachal Pradesh",526,508,2
"2020-04","2020-04-24","Assam",6680,6391,35
"2020-04","2020-04-24","Bihar",14924,,176
"2020-04","2020-04-24","Chandigarh",638,603,27
"2020-04","2020-04-24","Chhattisgarh",11386,10213,36
"2020-04","2020-04-24","Delhi",33672,26552,2514
"2020-04","2020-04-24","Gujarat",46743,41007,2815
"2020-04","2020-04-24","Haryana",18845,16642,275
"2020-04","2020-04-24","Himachal Pradesh",4328,4160,40
"2020-04","2020-04-24","Jammu and Kashmir",11764,11310,454
"2020-04","2020-04-24","Jharkhand",6162,6105,57
"2020-04","2020-04-24","Karnataka",35958,31914,474
"2020-04","2020-04-24","Kerala",21940,20830,450
"2020-04","2020-04-24","Madhya Pradesh",26233,24387,1846
"2020-04","2020-04-24","Manipur",402,,2
"2020-04","2020-04-24","Meghalaya",1130,1048,12
"2020-04","2020-04-24","Odisha",18458,,94
"2020-04","2020-04-24","Puducherry",1704,1657,7
"2020-04","2020-04-24","Punjab",10611,8310,298
"2020-04","2020-04-24","Rajasthan",74484,68133,2034
"2020-04","2020-04-24","Tamil Nadu",72403,62596,1755
"2020-04","2020-04-24","Uttar Pradesh",53166,51161,1621
"2020-04","2020-04-24","Uttarakhand",4767,4239,48
"2020-04","2020-04-24","West Bengal",8933,,514
"2020-04","2020-04-25","Andhra Pradesh",61266,60250,1016
"2020-04","2020-04-25","Assam",7159,6781,35
"2020-04","2020-04-25","Bihar",15885,,238
"2020-04","2020-04-25","Chandigarh",734,668,28
"2020-04","2020-04-25","Chhattisgarh",12596,11168,37
"2020-04","2020-04-25","Dadra and Nagar Haveli and Daman and Diu",1386,1386,0
"2020-04","2020-04-25","Delhi",35519,28693,2625
"2020-04","2020-04-25","Gujarat",48315,45254,3061
"2020-04","2020-04-25","Haryana",20270,17787,287
"2020-04","2020-04-25","Himachal Pradesh",4623,4363,40
"2020-04","2020-04-25","Jammu and Kashmir",12835,12341,494
"2020-04","2020-04-25","Jharkhand",6970,6903,67
"2020-04","2020-04-25","Karnataka",39083,34888,500
"2020-04","2020-04-25","Kerala",22360,21475,457
"2020-04","2020-04-25","Madhya Pradesh",27866,25921,1945
"2020-04","2020-04-25","Manipur",416,,2
"2020-04","2020-04-25","Meghalaya",1169,1097,12
"2020-04","2020-04-25","Nagaland",613,607,0
"2020-04","2020-04-25","Odisha",20599,,94
"2020-04","2020-04-25","Puducherry",1864,1793,8
"2020-04","2020-04-25","Punjab",13270,9392,308
"2020-04","2020-04-25","Rajasthan",78993,71806,2083
"2020-04","2020-04-25","Tamil Nadu",80110,69390,1821
"2020-04","2020-04-25","Uttar Pradesh",56851,54216,1793
"2020-04","2020-04-25","Uttarakhand",5194,4423,48
"2020-04","2020-04-25","West Bengal",9880,,571
"2020-04","2020-04-26","Andhra Pradesh",68034,66937,1097
"2020-04","2020-04-26","Arunachal Pradesh",568,529,2
"2020-04","2020-04-26","Assam",7823,7474,35
"2020-04","2020-04-26","Bihar",17041,,255
"2020-04","2020-04-26","Chandigarh",756,677,30
"2020-04","2020-04-26","Chhattisgarh",13786,12406,37
"2020-04","2020-04-26","Dadra and Nagar Haveli and Daman and Diu",1901,1901,0
"2020-04","2020-04-26","Delhi",37613,31919,2918
"2020-04","2020-04-26","Gujarat",51091,47790,3301
"2020-04","2020-04-26","Haryana",21467,19241,296
"2020-04","2020-04-26","Himachal Pradesh",4901,4794,40
"2020-04","2020-04-26","Jammu and Kashmir",13959,13436,523
